mode,m,call_count,experts,hidden_size,intermediate_size,topk,group_size,gems_us,native_us,speedup
kernel,152,172,256,4096,256,6,128,2369.5600032806396,2972.8000164031982,1.2545789143500805
kernel,160,172,256,4096,256,6,128,2402.6401042938232,3029.279947280884,1.26081302891231
kernel,168,172,256,4096,256,6,128,2389.8000717163086,3025.599956512451,1.2660473117901965
kernel,176,172,256,4096,256,6,128,2432.57999420166,3057.039976119995,1.2567068640730452
kernel,184,172,256,4096,256,6,128,2426.719903945923,3150.0200033187866,1.2980566888649798
kernel,192,172,256,4096,256,6,128,2437.340021133423,3127.4800300598145,1.2831529466313278
kernel,200,172,256,4096,256,6,128,2436.6400241851807,3203.920006752014,1.3148926287638298
kernel,208,172,256,4096,256,6,128,2456.8800926208496,3195.280075073242,1.30054376062965
kernel,216,172,256,4096,256,6,128,2473.8399982452393,3299.760103225708,1.3338615696917813
kernel,224,172,256,4096,256,6,128,2465.8199548721313,3310.760021209717,1.3426608924419225
kernel,232,172,256,4096,256,6,128,2475.459933280945,3363.7999296188354,1.358858563774246
kernel,240,172,256,4096,256,6,128,2456.820011138916,3456.8800926208496,1.4070546791982261
kernel,248,172,256,4096,256,6,128,2458.419919013977,3505.4800510406494,1.4259077645476559
kernel,256,172,256,4096,256,6,128,2467.120051383972,3469.280004501343,1.4062063994636955
kernel,272,172,256,4096,256,6,128,2482.1999073028564,3631.7399740219116,1.463113411348137
kernel,288,172,256,4096,256,6,128,2484.5399856567383,3745.6400394439697,1.507578892296992
kernel,304,172,256,4096,256,6,128,2490.339994430542,3923.3999252319336,1.5754475027531671
kernel,320,172,256,4096,256,6,128,2493.680000305176,3976.900100708008,1.5947916734389802
kernel,336,172,256,4096,256,6,128,2496.380090713501,3983.9199781417847,1.595878765802496
kernel,352,172,256,4096,256,6,128,2499.780058860779,3988.6800050735474,1.595612378351119
kernel,368,172,256,4096,256,6,128,2543.2798862457275,4101.399898529053,1.6126419749197758
kernel,384,172,256,4096,256,6,128,2519.6800231933594,4088.0398750305176,1.6224440553564696
kernel,400,172,256,4096,256,6,128,2539.8800373077393,4138.400077819824,1.6293683233191236
kernel,416,172,256,4096,256,6,128,2567.6400661468506,4130.080223083496,1.6085121421560202
kernel,432,172,256,4096,256,6,128,2568.4800148010254,4163.360118865967,1.6209431628334057
kernel,448,172,256,4096,256,6,128,2597.140073776245,4223.000049591064,1.6260193634649889
kernel,464,172,256,4096,256,6,128,2600.2800464630127,4237.119913101196,1.629485992812454
kernel,480,172,256,4096,256,6,128,2655.0400257110596,4363.459825515747,1.6434629170410142
kernel,496,344,256,4096,256,6,128,2713.1199836730957,4455.2001953125,1.6420947920190867
kernel,512,344,256,4096,256,6,128,2815.2999877929688,4492.080211639404,1.595595578132664
kernel,2048,43,256,4096,256,6,128,5409.460067749023,20656.299591064453,3.8185510813207504
kernel,16384,946,256,4096,256,6,128,29006.160736083984,131139.2364501953,4.52108218124354
cudagraph,1,172,256,4096,256,6,128,93.20980427311916,134.18636681898585,1.4396164423411835
cudagraph,2,172,256,4096,256,6,128,153.3737273227574,185.35348909710524,1.20850873440045
cudagraph,4,172,256,4096,256,6,128,264.84748295375283,329.6224701572472,1.2445746755116616
cudagraph,8,172,256,4096,256,6,128,491.805292624795,573.3503684019431,1.165807641763953
cudagraph,16,172,256,4096,256,6,128,846.9447443040751,1033.2431395848591,1.2199652297669823
cudagraph,24,172,256,4096,256,6,128,1168.7454223632812,1425.731603650079,1.2198820858413757
